gender,age,time
M,(19- 22),14:05:08
M,(19- 22),14:05:11
M,(19- 22),14:05:15
M,(19- 22),14:05:18
M,(23-29),14:05:21
M,(13-18),14:05:25
M,(13-18),14:05:28
M,(13-18),14:05:32
M,(19- 22),14:05:35
M,(19- 22),14:05:38
M,(23-29),14:05:42
M,(23-29),14:05:45
M,(23-29),14:05:49
M,(23-29),14:05:52
M,(23-29),14:05:55
M,(23-29),14:05:59
M,(23-29),14:06:02
M,(23-29),14:06:05
M,(23-29),14:06:09
M,(23-29),14:06:12
M,(23-29),14:06:16
M,(23-29),14:06:19
M,(23-29),14:06:23
M,(23-29),14:06:26
M,(23-29),14:06:29
M,(23-29),14:06:33
M,(23-29),14:06:36
M,(23-29),14:06:40
M,(23-29),14:06:43
M,(19- 22),14:06:46
M,(23-29),14:06:50
M,(19- 22),15:09:17
M,(23-29),15:09:20
M,(23-29),15:09:24
M,(19- 22),15:09:27
M,(23-29),15:09:30
M,(30-34),15:09:34
M,(30-34),15:09:37
M,(19- 22),15:09:41
M,(23-29),15:09:44
M,(23-29),15:09:48
M,(19- 22),15:09:51
M,(23-29),15:09:55
M,(23-29),15:09:58
M,(19- 22),15:10:01
M,(23-29),15:10:05
M,(23-29),15:10:08
M,(13-18),15:10:12
M,(13-18),15:10:15
M,(23-29),15:10:19
M,(35-39),15:10:31
M,(23-29),15:10:35
M,(23-29),15:10:38
M,(1-12),15:10:42
F,(30-34),15:10:45
F,(23-29),15:10:49
M,(23-29),15:10:49
M,(23-29),15:10:52
M,(30-34),15:10:56
F,(30-34),15:10:56
F,(30-34),15:10:59
M,(23-29),15:11:00
M,(23-29),15:11:03
F,(35-39),15:11:03
M,(23-29),15:11:07
F,(35-39),15:11:07
M,(30-34),15:11:11
F,(35-39),15:11:11
M,(30-34),15:11:15
F,(35-39),15:11:15
M,(23-29),15:11:18
F,(35-39),15:11:19
M,(23-29),15:11:22
M,(35-39),15:11:22
M,(23-29),15:11:23
M,(30-34),15:11:26
F,(30-34),15:11:27
M,(23-29),15:11:30
F,(30-34),15:11:30
M,(23-29),15:11:34
F,(30-34),15:11:34
M,(23-29),15:11:38
M,(23-29),15:11:41
M,(40-44),15:11:41
M,(13-18),15:11:45
M,(40-44),15:11:45
F,(30-34),15:11:45
M,(13-18),15:11:49
M,(23-29),15:11:49
M,(30-34),15:11:49
M,(40-44),15:11:53
M,(23-29),15:11:53
M,(19- 22),15:11:57
M,(23-29),15:11:57
M,(23-29),15:11:57
M,(13-18),15:12:01
M,(23-29),15:12:01
M,(23-29),15:12:05
M,(23-29),15:12:05
F,(23-29),15:12:06
M,(23-29),15:12:06
M,(13-18),15:12:10
M,(23-29),15:12:10
M,(19- 22),15:12:16
M,(30-34),15:12:23
M,(40-44),15:12:26
M,(13-18),15:12:26
M,(23-29),15:12:30
M,(19- 22),15:12:33
M,(13-18),15:12:36
M,(13-18),15:12:40
M,(23-29),15:12:46
M,(13-18),15:12:53
M,(19- 22),15:13:18
